Study ID,Journal ID,Volume #,Issue #,Year,Title,Author #1,Design,text ,NW,CC,ADVCL,DOBJ,SCONJ,IC,Binary_design
54,JLD,53,6,2020,The Critical Role of Word Reading as a Predictor of Response to Intervention,Sharon Vaughn,EXP,"This study examines the initial word reading performance of fourth-grade struggling readers and the extent to which differing levels of word reading performance at pretest influenced their response to reading interventions. A large group of students with significant reading comprehension difficulties (NÊ= 481) were classified into three clusters of word reading proficiency based on their pretest performance: (a) very low, (b) low, and (c) near adequate. We examined their performance on several academic, language, and executive functioning measures at the beginning of the year and their reading comprehension performance at the beginning of year and after 1 year of reading intervention to examine how each cluster responded to instruction. Results from a discriminant function analysis indicated that performance on five pretest variables were meaningful predictors of word reading proficiency cluster membership: phonological processing, writing fluency, math calculation, math fluency, and reading efficiency and comprehension. Results also demonstrated that word reading proficiency at pretest was related to response to intervention on reading comprehension measures. Students in the very low word reading proficiency cluster showed minimal response to intervention whereas the near-adequate word reading cluster demonstrated greatest response to intervention. These results suggest word reading is a critical predictor of response to intervention for students with significant comprehension problems in the upper elementary grades and that students with the most substantial word reading problems may require more intensive and specialized treatments than students with greater word reading performance to show meaningful progress in reading.",244,0.0,0.0,81.96721311475409,20.491803278688522,0.0,1
55,JLD,53,6,2020,Comparison of Reading Growth Among Students With Severe Reading Deficits Who Received Intervention to Typically Achieving Students and Students Receiving Special Education,Matthew K. Burns,Non-EXP,"This study compared the reading growth of students with and without learning disabilities, and students with and without reading deficits in response to tier 2 reading interventions within a response-to-intervention framework. Participants were 499 second- and third-grade students in six urban schools. Students who scored at or below the 10th percentile on the fall reading screening assessment were identified as having a severe reading deficit and received a tier 2 reading intervention that was targeted to their needs. Results showed a significant effect between groups on reading growth. Students with severe reading deficits receiving targeted tier 2 intervention grew at a rate that equaled the rate of growth of students without reading deficits and was significantly higher than students who were receiving special education services for reading. Implications for practice, suggestions for future research, and study limitations are discussed.",142,0.0,0.0,84.50704225352112,0.0,0.0,0
56,JLD,53,5,2020,Dynamic Assessment for Identifying Spanish-Speaking English LearnersÕ Risk for Mathematics Disabilities: Does Language of Administration Matter?,Eunsoo Cho,EXP,"We examined dynamic assessmentÕs (DAÕs) added value over traditional assessments for identifying Spanish-speaking English learnersÕ (ELs) risk for developing mathematics disabilities, as a function of the language of test administration (English vs. Spanish), type of math outcome, and ELÕs language dominance. At the start of first grade, ELs (NÊ= 368) were randomly assigned to English-DA or Spanish-DA conditions, were assessed on static mathematics measures and domain-general (language, reasoning) measures in English, and completed DA in their assigned language condition. At yearÕs end, they were assessed on calculation and word-problem solving outcomes in English. Results from multigroup path models indicated that Spanish-DA mitigates the impact of ELsÕ language dominance on DA performance. Moreover, ELsÕ language dominance moderated DAÕs predictive validity differentially depending on DA language and type of outcome. Spanish-DA showed higher predictive validity in Spanish-dominant ELs than English-dominant ELs when predicting calculations but not word-problem solving. English-DA was predictive for both outcomes, regardless of ELsÕ language dominance.",168,0.0,0.0,41.666666666666664,11.904761904761903,0.0,1
57,JLD,53,5,2020,A Common Family Factor Underlying Language Difficulties and Internalizing Problems: Findings From a Population-Based Sibling Study,Siri Saugestad Helland,Non-EXP,"Studies have identified concurrent, longitudinal, and bidirectional associations between language difficulties and internalizing problems. This is commonly explained by social exclusion or withdrawal from peers, but underlying mechanisms are not well understood. This study uses sibling data to investigate if the comorbidity between language difficulties and internalizing problems is best explained by familial factors shared by siblings, such as genes or family environment, or nonfamilial factors specific to each child, such as peer environment. Data include 5,568 siblings at 5 years and 3,654 siblings at 8 years participating in the Norwegian Mother, Father and Child Cohort Study (MoBa). We constructed a latent factor model at 5 and 8 years, including a family comorbidity factor capturing correlations between language and internalizing problems that were equally strong between as within siblings. Results showed that the correlation between one siblingÕs internalizing problems and the other siblingÕs language problems was mostly accounted for by a family comorbidity factor. The best-fitting longitudinal model included stability of the family comorbidity factor and stability of language and internalizing problems within each sibling and no cross-sibling or cross-trait longitudinal associations. This suggests that the association between language and internalizing problems may be best explained by family factors.",202,0.0,0.0,54.45544554455446,14.85148514851485,0.0,0
58,JLD,53,4,2020,Using Video-Based Instruction via Augmented Reality to Teach Mathematics to Middle School Students With Learning Disabilities,Ryan O. Kellems,EXP,"The purpose of this study was to examine the effectiveness of video-based mathematics instruction for seven middle school students with specific learning disability (SLD), using an augmented reality-based training package. The dependent variable was the percentage of steps students performed correctly to solve each type of mathematics problem. The independent variable was the augmented reality video-based intervention, which used video to model the individual steps for solving four types of multistep mathematics problems: (a) addition and subtraction of integers, (b) multiplication and division of integers, (c) using ratio reasoning to convert measurement units, and (d) using multiplication and division to calculate rate of change. Results indicated a functional relation between the video-based mathematics intervention and the percentage of steps completed correctly for each type of problem. All seven participants showed significant gains immediately after receiving the intervention and maintained improved problem-solving skills in at least three out of the four problem categories.",157,0.0,0.0,89.17197452229298,0.0,0.0,1
59,JLD,53,4,2020,Exploring the Relation Between Teacher Factors and Student Growth in Early Writing,Britta Cook Bresina,Non-EXP,"Data from a small randomized control trial of teachersÕ use of Data-Based Instruction (DBI) for early writing were analyzed to determine the influence of teacher knowledge, skills, and treatment fidelity on student Curriculum-Based Measurement (CBM) slope. Participants included 11 elementary grade teachers who delivered intensive intervention in early writing and their students (nÊ= 31), all identified as either at risk for or with disabilities that affect their writing. Teachers received professional development and ongoing coaching to support the implementation of DBI for improving their studentsÕ early writing skills. Results from a multiple regression analysis suggest that teacher knowledge and skills in DBI was strongly related to student CBM slope in early writing (pÊ< .01) and a small but significant relation between fidelity of writing instruction and student CBM slope (pÊ< .01). Implications for instructional coaching and improving student writing progress are discussed.",146,0.0,0.0,75.34246575342465,6.8493150684931505,13.698630136986301,0
60,JLD,53,2,2020,The Effects of Script and Orthographic Complexity on the Handwriting and Spelling Performance of Children with Dyslexia,Barbara Arfe,Non-EXP,"Handwriting and spelling problems are often associated in dyslexia. However, the nature of their association is still unclear, and most of the existing research in this area is on deep orthographies (mainly English). The extent to which findings are applicable across languages is uncertain. This article examines the effects of script (manuscript/cursive) and orthographic complexity (complex/simple spellings) on the word dictation and word-copying performance of a group of 24 Italian children with dyslexia and handwriting difficulties (DH group, aged 8Ð10). Their performance was compared with that of a chronologically ageÐmatched group (CA) and a group of younger children matched to the DH group for their handwriting skills (HA: handwriting age group). Children performed two classical handwriting tasks: the alphabet task and a sentence-copy task, and dictation and copy tasks of orthographically complex words and orthographically simple words. Copying was performed in manuscript and cursive. The results show that although the DH group shows a significant deficit in graphomotor processes, orthographic complexity more than the visual-motor characteristics of the task (i.e., script) affects their performance in handwriting. An advantage for cursive script in DH children, but not in the other two groups, emerges from the study.",200,5.0,5.0,20.0,10.0,5.0,0
61,JLD,53,2,2020,Writing Impairments in Spanish Children With Developmental Dyslexia,Olivia Afonso,Non-EXP,"This study investigated which components of the writing production process are impaired in Spanish children with developmental dyslexia (DD) aged 8 to 12 years. Children with and without dyslexia (nÊ= 60) were assessed in their use of the lexical and the sublexical routes of spelling as well as the orthographic working memory system by manipulating lexical frequency, phonology-to-orthography (P-O) consistency, and word length in a copying task and a spelling-to-dictation task. Results revealed that children with dyslexia produced longer written latencies than chronological age-matched (CA) controls, more errors than CA and reading age-matched (RA) controls, and writing durations similar to CA controls. Latencies were more affected by frequency, consistency, and length in the DD group and the RA group than in CA controls. Children in the DD and RA groups produced longer written latencies in the copying than in the spelling-to-dictation task, while controls in the CA group were not affected by the task. Results indicate that spelling impairments in Spanish children with dyslexia affect the relative involvement of lexical and sublexical information during handwriting. Meanwhile, effects on writing speed seem to be related to deficits in reading ability, and accuracy scores seem to be poorer than expected by childrenÕs reading skill.",211,0.0,0.0,42.65402843601896,18.95734597156398,14.218009478672984,0
62,JLD,53,2,2020,Accuracy and Consistency of Letter Formation in Children With Developmental Coordination Disorder,Mellissa Prunty,EXP,Handwriting difficulties are frequently mentioned in descriptions of developmental coordination disorder (DCD). Recent studies have shown that children with DCD pause more and produce less text than typically developing (TD) peers. This temporal dysfluency indicates a lack of automaticity in handwriting production. One possible contributing factor is the accuracy and consistency of letter formation. The aim of this study was to gain a better understanding of handwriting dysfluency by examining the accuracy and consistency of letter production both within and across different writing tasks. A total of 28 children aged 8 to 15 years with DCD participated in the study with 28 TD age- and gender-matched control participants. They completed the alphabet writing and copy fast tasks fromÊThe Detailed Assessment of Speed of HandwritingÊon a digitizing writing tablet. The accuracy and consistency of letter production were examined. The DCD group had a higher percentage of errors within their letterforms than did the TD peers. Letter production was also less consistent between tasks. Children with DCD appear to have difficulties with the ÒallographÓ (motor program) aspect of handwriting and may require explicit teaching of letter formation.,186,0.0,0.0,64.51612903225806,10.752688172043012,0.0,1
63,JLD,53,2,2020,Teaching GraphemeÐPhoneme Correspondences Using a Direct Mapping Approach for At-Risk Second Language Learners: A Randomized Controlled Trial,Susunna Siu-sze Yeung,EXP,"Reading interventions developed to teach graphemeÐphoneme correspondences (GPCs) were evaluated among L2 at-risk readers. In the direct mapping of grapheme (DMG) condition, childrenÕs attention was explicitly drawn to the application of a graphemes taught on that day to shared reading of words in authentic text. In the control condition there was no such systematic daily linkage of the GPCs and texts. The two reading interventions were otherwise identical. Two hundred fifty-three Chinese Grade 1 and Grade 2 students were screened, and those who scored in the bottom 30% of an English word-reading test were identified as L2 at-risk readers. Seventy-one L2 at-risk readers were thus randomly assigned to two conditions, both of which were small-group reading interventions: (a) DMG or (b) taught control. We hypothesized a significant main effect of Intervention condition and significant interaction of Intervention by Phonological Awareness (PA) effects on word reading, word attack, spelling, and sentence comprehension favoring the DMG intervention. Results showed that predicted interaction effects were significant for word reading, spelling, and sentence comprehension. No other effects were significant. Results suggest that the daily Direct Mapping of taught GPCs to shared book reading promotes reading development in at-risk English L2 readers with stronger phonological skills.",209,0.0,0.0,38.27751196172249,9.569377990430622,0.0,1
64,JLD,53,2,2020,Assessing Foundational Reading Skills in Kindergarten: A Curriculum-Based Measurement in Spanish,Nuria Gutierrez,Non-EXP,"Early identification of learning difficulties is a critical component of the Response to Intervention (RtI) model. In kindergarten, the screening of foundational reading skills can provide a data-based guideline for identifying students requiring a more intensive response-based intervention before starting elementary school. This study examines the classification accuracy and best predictors of a set of Spanish curriculum-based measures administered during kindergarten. The studyÕs sample included 189 students tested in the fall, winter, and spring. Receiver operating characteristic (ROC) analysis was conducted. The composite score of the curriculum-based measurement (CBM) revealed area under the ROC curve (AUC) values of 0.83, 0.97, and 0.94 in the fall, winter, and spring, respectively. Phonemic awareness and letter-sound knowledge were the only isolated measures that demonstrated excellent AUC values throughout kindergarten. Logistic regression models showed that, when entered simultaneously, all measures were significant predictors of reading risk at some moment of the school year.",154,0.0,0.0,64.93506493506493,12.987012987012989,0.0,0
65,JLD,53,1,2020,How Stable Is Early Academic Performance? Using Cluster Analysis to Classify Low Achievement and EF.,Adrienne D. Woods,Non-EXP,"We explored whether and how cognitive measures of executive function (EF) can be used to help classify academic performance in Kindergarten and first grade using nonparametric cluster analysis. We found that EF measures were useful in classifying low-reading performance in both grades, but mathematics performance could be grouped into low, average, and high groups without the use of EF tasks. Membership in the high-performing groups was more stable through first grade than membership in the low or average groups, and certain Kindergarten EF tasks differentially predicted first-grade reading and mathematics cluster membership. Our results suggest a stronger link between EF deficits and low performance than between EF strengths and high performance. We highlight the importance of simultaneously using academic and cognitive skills to classify achievement, particularly since existing classification schemes have been largely based on arbitrary cutoffs using limited academic measures.",144,6.944444444444444,6.944444444444444,62.5,27.777777777777775,6.944444444444444,0
66,JLD,53,1,2020,"A Developmental Examination of Narrative Writing in EL and EL1 School Children Who Are Typical Readers, Poor Decoders, or Poor Comprehenders",Katherine E. D. Herbert,Non-EXP,"This longitudinal study examined story-writing development of students from Grade 4 to Grade 6, comparing the developmental trajectories of English as a first language (EL1s;ÊnÊ= 43) and English learners (ELs;ÊnÊ= 108) in general, and in groups of EL1s and ELs with typically developing and poor reader profiles. In relation to their EL1 or EL reference group, students were classified in Grade 4 as typical readers (nÊ= 72), poor decoders (nÊ= 53), or poor comprehenders (nÊ= 26), with EL1s and ELs proportionally represented in each group. The effects of language, grade level, and reading group on story-writing measures were examined. Both EL1s and ELs developed story-writing skills in a similar manner, showing significant growth between Grades 4 and 6. Typically developing ELs attained age-appropriate story-writing levels. Poor decoders and poor comprehenders showed similar profiles of strengths and weaknesses, regardless of whether English was their first or second language.ÊBothÊpoor reader groups had significant difficulties in story-writing, struggling with the mechanics of writing, sentence structure, and story organization. Findings are discussed in terms of the interconnected relationship between reading and writing profiles, and the importance of a comprehensive understanding of sources of learning difficulties in ELs and EL1s.",201,0.0,0.0,44.776119402985074,4.975124378109452,0.0,0
67,JLD,53,1,2020,Cognitive-Linguistic Skills Underlying Word Reading and Spelling Difficulties in Chinese Adolescents With Dyslexia,Kevin Kien Hoa Chung,EXP,"The present study investigated the co-occurrence of word reading and spelling difficulties for Chinese first language (L1) and English second language (L2) and the role of morphological awareness in word reading and spelling ability across two languages. A total of 110 Hong Kong Chinese-speaking students in Grade 7, including 55 adolescents with dyslexia (28 males, mean age = 152.11 months) and 55 typically developing adolescents (27 males, mean age = 151.85 months) participated. They were assessed on the cognitive-linguistic measures of morphological awareness, phonological awareness, vocabulary knowledge, rapid naming, word reading, and word spelling in L1 and L2. Multivariate analysis of variance showed that compared with the typical students, adolescents with dyslexia had poorer performance in all L1 and L2 measures except the phonological awareness in Chinese. Hierarchical regression analysis indicated that for both groups of students, morphological awareness contributed uniquely to word reading and spelling in L1 and L2; rapid letter naming contributed uniquely to English word spelling. Findings highlight the importance of co-occurring difficulties in L1 and L2 reading and spelling and that morphological awareness may play a critical role in predicting word reading and spelling across languages for Chinese adolescents with dyslexia and those without difficulty.",203,0.0,0.0,44.33497536945813,19.704433497536947,4.926108374384237,1
68,EC,89,3,2023,Special Education Teachers of Color Retention Decisions: Findings From a National Study,LaRon A. Scott,EXP,"Special education teachers of color are underrepresented in research about attrition and retention, despite evidence of their role in the academic, social, and emotional success of students of color. We used critical quantitative methods and structural equation modeling to investigate the attrition and retention variability between special education teachers (SETs) of color and White SETs. We sampled 778 SETs and found SETs of color reported higher rates of intent to remain in the profession than White SETs. SETs of color in urban schools also rated supports higher than White SETs, based on school geographical location, suggesting higher retention of SETs of color in urban schools. We offer implications for ensuring SETs of color are reflected in research, and policy and practice recommendations to move the discussion of race and teacher shortage forward in the field.",135,0.0,0.0,59.25925925925926,7.407407407407407,7.407407407407407,1
69,EC,89,3,2023,Evaluating the Effects of Adding Explicit Vocabulary Instruction to a Word-Problem Schema Intervention,Elizabeth A. Stevens,EXP,"Schema instruction improves word-problem solving for students with mathematics difficulty (MD; e.g.,ÊPowell et al., 2015); however, prior research suggests that students need word-problem-specific language comprehension in addition to schema knowledge to build word-problem models (ÊFuchs et al., 2015,Ê2018). Students have general word knowledge (e.g.,Êmore, less) but require word-problem-specific word knowledge to solve word problems successfully (e.g.,Êmore than, less than;ÊKintsch & Greeno, 1985). Prior word-problem schema interventions have not provided explicit instruction in word-problem vocabulary to support studentsÕ development of word-problem models. We aimed to determine if word-problem vocabulary instruction combined with schema instruction provided an advantage to word-problem solving for third-grade students with MD. We randomly assigned 75 third graders with MD to three conditions: Word-problem intervention with explicit vocabulary instruction (WP_+_V), word-problem intervention without explicit vocabulary instruction (WP-only), and business-as-usual intervention (BAU). Students in the treatment conditions received 22, 50-min lessons provided virtually in small groups. On a word-problem vocabulary measure, students in the WP_+_V condition significantly outperformed students in the WP-only (ES_=_0.43) and BAU (ES_=_0.83) conditions. On a word-problem measure, students in the WP_+_V condition outperformed students in the WP-only (ES_=_0.08) and BAU conditions (ES_=_0.43), although these were not statistically significant. These findings provide preliminary support for the benefits of incorporating explicit vocabulary instruction in a word-problem schema intervention; future research is needed to fully understand the effect of vocabulary instruction on word-problem outcomes.",252,3.968253968253968,3.968253968253968,63.49206349206349,11.904761904761903,3.968253968253968,1
70,EC,89,3,2023,Next-Generation Fraction Intervention and the Long-Term Advantage of Interleaved Instruction,Lynn S. Fuchs,EXP,"This study's first purpose was to investigate effects of a fourth- and fifth-grade Ònext-generationÓ fraction intervention, which included six enhancements over a previously validated fraction intervention, designed to address career- and college-readiness standards. The study's second purpose was to assess effects of the next-generation fraction intervention at follow-up, 1 year after intervention ended. The third purpose was to isolate the effects of one of the six intervention enhancements: interleaved fraction calculations instruction. Students with intensive intervention needs were randomized to next-generation fraction intervention (Super Solvers [SSINT]) with blocked calculations instruction (SSINT_B), SSINT with interleaved calculations instruction (SSINT_I), and control. On a mix of proximal and transfer outcomes, SSINT (across conditions) produced strong, significant effects over control at posttest. At follow-up, effect sizes were weaker but remained significant on calculations:Êg_=_1.22. On other measures, follow-upÊgÊwas 0.39 to 0.58. The effect of SSINT_I over SSINT_B, although not significant at posttest (g_=_0.28), was statistically significant and large at follow-up (g_=_0.65), in line with the cognitive science literature showing long-term advantages for interleaved instruction. Results suggest next-generation fraction intervention efficacy for intensive-needs students and the importance of interleaved instruction.",199,5.025125628140704,0.0,40.20100502512563,10.050251256281408,5.025125628140704,1
71,EC,89,2,2023,Texas Special Education Cap's Associations With Disability Identification Disparities of Racial and Language Minority Students,Paul L. Morgan,Non-EXP,"We used time-varying effect modelling of two very large samples of fourth-grade students (Nreading_=_148,240,ÊNmathematics_=_152,220) to investigate associations between adoption and over-time implementation of a de facto cap on special education service receipt and over-time likelihoods of disability identification from 2003 to 2017 for Texas students including those from historically marginalized communities. Following the cap's adoption, Texas students who are Black or English Language Learners (ELLs) were gradually less likely to have been identified as having disabilities than students in adjoining statues who are Black or ELLs in analyses adjusting for individual academic achievement, family economic disadvantage, school fixed effects, and other explanatory factors. Findings provide additional evidence of the cap's specific associations with disability identification disparities for demographic populations especially likely to have experienced violations of the Individuals with Disabilities Education Act's Child Find and free and appropriate public education requirements.",148,0.0,0.0,33.78378378378378,0.0,6.756756756756757,0
72,EC,89,2,2023,Specialized Writing Instruction for Deaf Students: A Randomized Controlled Trial,Kimberly Wolbers,EXP,"Strategic and Interactive Writing Instruction (SIWI) involves teaching cognitive writing strategies and apprenticing novices within collaborative writing communities. It is responsive to deaf students' diverse language experiences through embedded metalinguistic/linguistic components. A randomized controlled trial of SIWI was conducted with 15 teachers and 79 students in grades 3-5. Recount, information report, and persuasive genres were taught across three 9-week periods. Writing samples analyzed for writing traits, language clarity, and language complexity were collected prior to instruction for the genre, immediately following, and 9 weeks after withdrawal of instruction for the genre. Standardized writing measures and motivation surveys were collected at the beginning and end of the academic year. Genre-specific writing outcomes were statistically significant for recount and information report writing, with substantial effect sizes for treatment and maintenance. Standardized writing outcomes mirrored these results. All others variables demonstrated small to moderately large treatment effects, although not all statistically significant.",153,6.5359477124183005,6.5359477124183005,32.67973856209151,6.5359477124183005,6.5359477124183005,1
73,EC,89,2,2023,First Step Next and homeBase: A Comparative Efficacy Study of Children With Disruptive Behavior,Andy J. Frey,Non-EXP,"Disruptive behavior disorders in childhood are increasingly pervasive and associated with numerous, negative long-term outcomes. The current study examined whether adding a brief, home-visitation intervention to an existing, multi-component (child and teacher) intervention, would improve social-emotional and behavioral outcomes for young children with challenging behavior in home and school settings who required intensive support. A total of 379 teacher-parent-student triads were screened for elevated levels of behavioral risk in school and home settings and then randomly assigned to school only intervention (i.e., teacher and student components), home only intervention (i.e., parent), both combined, or business-as-usual control conditions. We examined baseline and posttest outcomes across prosocial behavior, problem behavior, and academic domains. The results demonstrated substantial support for the teacher and child-focused condition and combined conditions, and modest support for the parent-focused condition. The study advances the literature by increasing the knowledge base related to these interventions implemented alone and in combination.",161,0.0,0.0,55.900621118012424,6.211180124223602,0.0,0
74,EC,89,2,2023,Efficacy of a School-Based Comprehensive Intervention Program for Adolescents With Autism,Kara Hume,EXP,"We tested the efficacy of a comprehensive intervention program designed for high school students across the autism spectrum, the Center on Secondary Education for Students with Autism (CSESA) model, in a cluster randomized control trial involving 60 high schools in three states (California, North Carolina, Wisconsin), with implementation occurring over a 2-year period. We examined outcomes for the schools, students (N_=_547), and families. At the conclusion of the study, CSESA schools had significantly higher program quality than the services-as-usual (SAU) schools. In addition, students in the CSESA schools had significantly higher total attainment of educational goals than students in SAU schools. There were not significant differences between the two groups on standardized assessment outcomes. We discuss implications for intervention implementation and future research with this population in the public school context.",134,0.0,0.0,52.23880597014925,0.0,0.0,1
75,EC,88,2,2022,Exploring the Effects of Full-Day Kindergarten on School Absenteeism for Children With Disabilities: Evidence From State Policy Mandates in the United States,Michael A. Gottfried,Non-EXP,"Student absenteeism is a barrier to learning and an issue that requires policy intervention. Students with disabilities are of particular concern, as they miss school more often than students in any other demographic group. Affecting a key attribute of school structures, policies promoting full-day kindergarten began as an effort to improve opportunities for students from disadvantaged backgrounds, but no studies have provided causal evidence as to whether full-day kindergarten enrollment relates to school attendance. No studies have examined whether effects exist for students with disabilities in the long term. Using a nationally representative sample of children with disabilities in the United States (N_=_2,120), we employed an instrumental-variable strategy that capitalized on state-level policy shifts of full-day kindergarten offerings as an exogenous source of variation. We found that full-day kindergarten structures related to a sharp increase in absenteeism for children with disabilities in kindergarten and first and second grades. We found no relationship to absenteeism for these children in later years of primary schooling. We discuss policy implications of these findings.",176,0.0,0.0,62.5,22.727272727272727,17.045454545454543,0
76,EC,88,2,2022,"Special Education Teacher Preparation, Literacy Instructional Alignment, and Reading Achievement for Students With High-incidence Disabilities",Roddy J. Theobald,Non-EXP,"We used survey and administrative data from Washington State to assess the degree to which special education teacher preparation, district literacy instructional practices, and the alignment between preparation and practice were associated with the reading test score gains of students with high-incidence disabilities taught by early-career special education teachers in Grades 4 to 8. These students tended to have larger reading gains when their districts used evidence-based literacy decoding practices (e.g., phonological awareness, phonics, and reading fluency) and when their special education teacher graduated from a teacher education program that also emphasized these practices. Students with high-incidence disabilities in districts that used balanced literacy practices tended to have lower reading gains. Finally, students with high-incidence disabilities taught by early-career special education teachers tended to have larger reading gains when their teacherÕs student teaching placement was supervised by a more experienced cooperating teacher.",148,0.0,0.0,67.56756756756756,20.27027027027027,0.0,0
77,EC,88,2,2022,Moderators of the Association Between Teaching Students With Disabilities and General Education Teacher Turnover,Allison F. Gilmour,Non-EXP,"We examined the association between the percentage of students with disabilities (SWD) in general education teachersÕ classes and their likelihood of turnover, investigating potential internal and external resources (certification, experience, preparation, classroom management, and working conditions) as moderators and disaggregating types of teacher mobility. Before accounting for other variables, the percentage of SWD, and the percentage of students with most specific disabilities, in teachersÕ classes were positively associated with moving within and moving between districts. These associations were not significant after accounting for student, teacher, and school characteristics. We identified a negative association between leaving teaching in the state and the percentage of SWD in teachersÕ classes, even after accounting for other variables. Dual-certification and instructional leadership moderated some of these associations. Results suggest that future research is needed to identify the supports teachers have access to when they teach higher percentages of SWD.",145,0.0,0.0,55.172413793103445,13.793103448275861,20.689655172413794,0
78,EC,88,1,2022,College and Career Readiness Support for Youth With and Without Disabilities Based on the National Longitudinal Transition Study 2012,Allison R. Lombardi,Non-EXP,"In this study, we examined college and career readiness (CCR) support for students with and without disabilities using data from the National Longitudinal Transition Study 2012. We selected variables relevant to CCR and focused on the interaction of disability, race and ethnicity, and household income across a range of disability categories, including those on individualized education programs and 504 plans, as well as for those without disabilities. Overall, we analyzed 19 groups of students representing these intersectional characteristics. Our findings show significant differences among the groups with regard to receiving the CCR supports: help with college applications, course-taking advice, interpretation of college admissions exam scores, and arranging college visits. Results show students of color without disabilities from low-income households were 2 times more likely to receive certain CCR supports. In contrast, across all study outcomes, students with disabilities showed different patterns than their counterparts without disabilities and were at a clear disadvantage with regard to access to CCR supports. Findings suggest disparities in schoolwide CCR supports for those with disabilities, which are more pronounced for students of color with disabilities. Implications for secondary transition educators and school counselors are discussed.",192,0.0,0.0,72.91666666666667,0.0,0.0,0
79,EC,88,1,2022,Do Students With Specific Learning Disorders With Impairments in Reading Benefit From Linguistic Simplification of Test Items in Science?,Nadine Cruz Neri,Non-EXP,"Previous research illustrated that reading comprehension and science performance correlate highly. Because students with specific learning disorders with impairments in reading (SLD-IR) show deficits in reading comprehension, they may struggle to perform in science. As language in science is characterized by linguistic complexity, the question arises whether students with SLD-IR can be supported by reducing linguistic complexity. The aim of this preregistered study was to investigate whether students with SLD-IR benefit more from linguistic simplification in science than their peers without SLD-IR. The sample consisted of 70 students (age,ÊM_=_12.67; 50% female) withÊn_=_35 having SLD-IR. Applying a multilevel logistic regression model, we found neither a main effect of linguistic simplification nor an interaction effect (differential boost) on science performance. However, students with SLD-IR performed significantly lower in science. Implications include further investigation on how to support students with SLD-IR in their science performance.",150,6.666666666666667,6.666666666666667,53.333333333333336,40.0,13.333333333333334,0
80,EC,88,1,2022,The Association between Parental Educational Expectations and School Functioning among Young People with Disabilities: A Longitudinal Investigation,Alexander W. O'Donnell,EXP,"Past research has established clear educational inequities between young people with disabilities and their peers. In part, some of these inequities may be attributed to expectations. In this study, we examined whether parental expectations were related to school functioning at high school, with school functioning broadly defined as ease and frequency of engagement in school-based activities. Using the Longitudinal Study of Australian Children (N_=_3,956; 48.9% female; 5.01% with disability), we examined parental expectations and school functioning measured at three time-points, biennially from the ages of 12 and 13 through to 16 and 17. A multigroup, parallel latent growth curve analysis revealed that high parental expectations at the first timepoint predicted steeper increases in the trajectory of school functioning over time, but only among young people with disability. Parental expectations did not significantly predict school functioning trajectories for the remainder of the sample. Subsequent multigroup analyses that compared disability characteristics revealed that learning difficulties and speech problems, in particular, were associated with lower parental expectations. These results suggest that the perceptions of parents in the lives of young people with disability are important and efforts to shape them may have long-term benefits.",194,0.0,0.0,46.391752577319586,25.773195876288657,0.0,1
81,EC,88,1,2022,Sustainability of a Teacher Professional Development Program on Proportional Reasoning Skills of Students With Mathematics Difficulties,Asha Jitendra,EXP,"Proportional reasoning is the cornerstone of many higher-level mathematics topics. We evaluated the sustainability effects of schema-based instruction (SBI) on proportional reasoning and the impact of professional development (PD) on the instructional practices of two cohorts of seventh-grade teachers (i.e., SBI-experienced-teacher implementers, who taught SBI in a previous study; SBI-novice-teacher implementers, who taught SBI for the first time with PD) and mathematics outcomes of students with mathematics learning difficulties. SBI was implemented for 6 weeks by 49 teachers in two distal states. Despite the cessation of PD provided to SBI experienced-teacher implementers, teachers in both cohorts demonstrated similar levels of fidelity. Results indicated no SBI experience effect on the immediate and 11-week retention tests of proportional problem solving, on a general measure of problem solving, and on an end-of-year mathematics achievement test, suggesting that the effectiveness of SBI generalizes over time to different cohorts of teachers and students.",159,0.0,0.0,44.0251572327044,12.578616352201259,0.0,1
82,EC,87,2,2021,A Quasiexperimental Evaluation of Two Versions of First-Grade PALS: One With and One Without Repeated Reading,Douglas Fuchs,EXP,"We attempted to strengthen an evidence-based, peer-mediated, first-grade reading program (First Grade Peer-Assisted Learning Strategies [PALS]) by modestly revising its content and adding a repeated-reading (RR) component. In a cluster-randomized trial, we conducted a component analysis of the revised program by creating two versions of it. ÒPALS+FluencyÓ represented the modified program with an RR component, whereas ÒPALS-OnlyÓ represented the same program without RR. We tested the efficacy of the two PALS versions together against controls and against each other to determine if peer-mediated RR had Òvalue added.Ó With moderator analyses, we further explored whether the PALS programs benefited weaker and stronger readers alike. Thirty-three first-grade classroom teachers (and 491 students) from eight urban schools were randomly assigned to the three study groups within their schools. The PALS-Only and PALS+Fluency programs ran for 22 weeks. Multilevel modeling showed that the combined effects of the two PALS programs on phonological awareness (PA), word reading, and reading fluency were superior to those of controls. StudentsÕ pretreatment PA moderated combined program effects on PA and word reading, indicating stronger effects for students with weaker PA. PALS-Only students improved PA skills (over PALS+Fluency students) with stronger effects for those with weaker pretreatment PA.",210,0.0,0.0,66.66666666666667,19.04761904761905,0.0,1
